state,yr,qtr,index_sa
CA,1991,2,99.24
CA,1991,3,98.85
CA,1991,4,99.23
CA,1992,1,99.05
CA,1992,2,97.62
CA,1992,3,97.03
CA,1992,4,95.56
CA,1993,1,93.71
CA,1993,2,92.62
CA,1993,3,90.74
CA,1993,4,89.96
CA,1994,1,88.86
CA,1994,2,88.16
CA,1994,3,87.64
CA,1994,4,86.77
CA,1995,1,86.28
CA,1995,2,85.61
CA,1995,3,85.51
CA,1995,4,85.10
CA,1996,1,85.06
CA,1996,2,84.63
CA,1996,3,84.74
CA,1996,4,85.25
CA,1997,1,84.82
CA,1997,2,86.31
CA,1997,3,87.40
CA,1997,4,88.93
CA,1998,1,90.96
CA,1998,2,93.65
CA,1998,3,95.73
CA,1998,4,98.06
CA,1999,1,100.58
CA,1999,2,102.94
CA,1999,3,105.34
CA,1999,4,108.34
CA,2000,1,111.75
CA,2000,2,115.12
CA,2000,3,118.89
CA,2000,4,123.73
CA,2001,1,127.99
CA,2001,2,131.44
CA,2001,3,134.30
CA,2001,4,137.95
CA,2002,1,142.55
CA,2002,2,148.73
CA,2002,3,155.52
CA,2002,4,161.62
CA,2003,1,167.74
CA,2003,2,173.78
CA,2003,3,180.84
CA,2003,4,191.52
CA,2004,1,201.44
CA,2004,2,213.76
CA,2004,3,227.92
CA,2004,4,239.70
CA,2005,1,252.34
CA,2005,2,264.83
CA,2005,3,276.81
CA,2005,4,283.67
CA,2006,1,286.67
CA,2006,2,284.79
CA,2006,3,278.88
CA,2006,4,273.65
CA,2007,1,273.14
CA,2007,2,266.48
CA,2007,3,252.69
CA,2007,4,234.87
CA,2008,1,214.44
CA,2008,2,194.25
CA,2008,3,181.68
CA,2008,4,171.50
CA,2009,1,165.53
CA,2009,2,163.38
CA,2009,3,166.10
CA,2009,4,168.10
CA,2010,1,168.15
CA,2010,2,166.89
CA,2010,3,163.19
CA,2010,4,159.60
CA,2011,1,155.90
CA,2011,2,152.99
CA,2011,3,152.18
CA,2011,4,152.83
CA,2012,1,154.64
CA,2012,2,160.25
CA,2012,3,162.97
CA,2012,4,171.37
CA,2013,1,180.88
CA,2013,2,191.08
CA,2013,3,199.79
CA,2013,4,204.78
CO,1991,1,100.00
CO,1991,2,100.07
CO,1991,3,101.19
CO,1991,4,103.02
CO,1992,1,105.36
CO,1992,2,107.83
CO,1992,3,109.77
CO,1992,4,113.50
CO,1993,1,115.61
CO,1993,2,119.33
CO,1993,3,123.70
CO,1993,4,127.87
CO,1994,1,132.00
CO,1994,2,135.75
CO,1994,3,138.21
CO,1994,4,140.21
CO,1995,1,142.00
CO,1995,2,143.61
CO,1995,3,146.09
CO,1995,4,148.27
CO,1996,1,150.05
CO,1996,2,152.02
CO,1996,3,153.48
CO,1996,4,155.94
CO,1997,1,157.25
CO,1997,2,159.24
CO,1997,3,161.23
CO,1997,4,163.50
CO,1998,1,166.16
CO,1998,2,168.72
CO,1998,3,171.66
CO,1998,4,175.87
CO,1999,1,179.78
CO,1999,2,184.52
CO,1999,3,190.59
CO,1999,4,194.68
CO,2000,1,200.22
CO,2000,2,205.57
CO,2000,3,211.61
CO,2000,4,217.29
CO,2001,1,223.82
CO,2001,2,227.03
CO,2001,3,228.82
CO,2001,4,230.63
CO,2002,1,234.32
CO,2002,2,234.91
CO,2002,3,237.58
CO,2002,4,240.03
CO,2003,1,240.82
CO,2003,2,241.52
CO,2003,3,243.02
CO,2003,4,245.33
CO,2004,1,247.62
CO,2004,2,251.44
CO,2004,3,254.17
CO,2004,4,255.31
CO,2005,1,260.56
CO,2005,2,262.75
CO,2005,3,265.94
CO,2005,4,271.33
CO,2006,1,272.55
CO,2006,2,273.51
CO,2006,3,275.07
CO,2006,4,278.62
CO,2007,1,278.91
CO,2007,2,278.75
CO,2007,3,278.42
CO,2007,4,275.25
CO,2008,1,271.79
CO,2008,2,271.23
CO,2008,3,268.15
CO,2008,4,261.97
CO,2009,1,266.86
CO,2009,2,267.37
CO,2009,3,266.79
CO,2009,4,266.34
CO,2010,1,269.47
CO,2010,2,264.72
CO,2010,3,259.43
CO,2010,4,263.31
CO,2011,1,258.17
